weird_al_yankovic	lady_gaga
50_cent	dr._dre
50_cent	eminem
a._j._mclean	backstreet_boys
a._p._j._abdul_kalam	pratibha_patil
aage_bohr	james_rainwater
aage_bohr	niels_bohr
aaliyah	jet_li
aaliyah	missy_elliott
aaliyah	r._kelly
aaliyah	timbaland
aaron_burr	alexander_hamilton
aaron_burr	thomas_jefferson_rusk
aaron_carter	backstreet_boys
aaron_ciechanover	avram_hershko
aaron_ciechanover	irwin_rose
abdou_diouf	abdoulaye_wade
abdou_diouf	léopold_sédar_senghor
abdoulaye_wade	abdou_diouf
abdullah_gül	ahmet_necdet_sezer
abdullah_gül	recep_tayyip_erdoğan
abdurrahman_wahid	megawati_sukarnoputri
abhishek_bachchan	aishwarya_rai
abraham_lincoln	andrew_johnson
abraham_lincoln	james_buchanan
abraham_lincoln	john_wilkes_booth
ace_frehley	peter_criss
ada_lovelace	charles_babbage
ada_yonath	thomas_a._steitz
ada_yonath	venkatraman_ramakrishnan
adam_brody	rachel_bilson
adam_lambert	kris_allen
adam_lambert	michael_jackson
adam_levine	kanye_west
adam_smith	david_hume
aden_abdullah_osman_daar	abdirashid_ali_shermarke
adnan_menderes	cemal_gürsel
adolf_anderssen	paul_morphy
adolf_anderssen	wilhelm_steinitz
adolf_eichmann	heinrich_himmler
adolf_eichmann	reinhard_heydrich
adolf_hitler	albert_speer
adolf_hitler	anton_drexler
adolf_hitler	benito_mussolini
adolf_hitler	erich_ludendorff
adolf_hitler	eva_braun
adolf_hitler	franz_von_papen
adolf_hitler	heinrich_himmler
adolf_hitler	hermann_göring
adolf_hitler	joseph_goebbels
adolf_hitler	joseph_stalin
adolf_hitler	karl_dönitz
adolf_hitler	kurt_von_schleicher
adolf_hitler	paul_von_hindenburg
adolf_von_baeyer	justus_von_liebig
adolf_von_baeyer	robert_bunsen
adolfo_de_la_huerta	venustiano_carranza
adolfo_de_la_huerta	álvaro_obregón
adolfo_suárez	leopoldo_calvo-sotelo,_1st_marquis_of_la_ría_de_ribadeo
adrian_smith	bruce_dickinson
adrien_brody	roman_polanski
adrien_brody	władysław_szpilman
aerosmith	steven_tyler
aerosmith	tom_hamilton_(musician)
aeschylus	sophocles
agnetha_fältskog	björn_ulvaeus
agnès_varda	jacques_demy
agostinho_neto	josé_eduardo_dos_santos
agyness_deyn	giorgio_armani
ahmed_ben_bella	houari_boumediène
ahmed_hassan_al-bakr	saddam_hussein
ahmed_ii	mustafa_ii
ahmed_iii	mustafa_ii
ahmed_nazif	hosni_mubarak
ahmet_ertegun	ray_charles_(composer)
ahmet_necdet_sezer	abdullah_gül
ai_takahashi	risa_niigaki
aigars_kalvītis	ivars_godmanis
aileen_wuornos	charlize_theron
aishwarya_rai	abhishek_bachchan
akbar_hashemi_rafsanjani	ali_khamenei
akbar_hashemi_rafsanjani	mohammad_khatami
akhenaten	amenhotep_iii
akhenaten	tutankhamun
akira_kurosawa	toshirō_mifune
akira_kurosawa	william_shakespeare
al_di_meola	paco_de_lucía
al_gore	bill_clinton
al_gore	dan_quayle
al_gore	dick_cheney
al_gore	george_w._bush
al_pacino	francis_ford_coppola
al_pacino	lee_strasberg
al_pacino	robert_de_niro
alain_juppé	jacques_chirac
alain_juppé	lionel_jospin
alain_juppé	édouard_balladur
alain_mimoun	emil_zátopek
alain_poher	charles_de_gaulle
alain_poher	georges_pompidou
alain_poher	valéry_giscard_d'estaing
alain_prost	ayrton_senna
alain_prost	jean_alesi
alain_prost	nigel_mansell
alain_prost	niki_lauda
alain_prost	rené_arnoux
alan_garcía	alberto_fujimori
alan_garcía	alejandro_toledo
alan_garcía	fernando_belaúnde_terry
alan_garcía	ollanta_humala
alan_greenspan	ben_bernanke
alan_greenspan	paul_volcker
alan_j._heeger	alan_macdiarmid
alan_lloyd_hodgkin	andrew_huxley
alan_lloyd_hodgkin	john_eccles_(neurophysiologist)
alan_macdiarmid	alan_j._heeger
alan_turing	gordon_brown
alban_berg	anton_webern
alban_berg	arnold_schoenberg
alben_w._barkley	harry_s._truman
alben_w._barkley	richard_nixon
albert,_prince_consort	queen_victoria
albert_camus	jean-paul_sartre
albert_einstein	adolf_hitler
albert_einstein	mileva_marić
albert_einstein	niels_bohr
albert_fert	peter_grünberg
albert_ii,_prince_of_monaco	grace_kelly
albert_ii,_prince_of_monaco	rainier_iii,_prince_of_monaco
albert_ii_of_belgium	astrid_of_sweden
albert_king	gary_moore
albert_king	stevie_ray_vaughan
albert_lebrun	philippe_pétain
albert_schweitzer	johann_sebastian_bach
albert_speer	adolf_hitler
albert_uderzo	rené_goscinny
alberto_ascari	juan_manuel_fangio
alberto_fujimori	alan_garcía
alberto_fujimori	mario_vargas_llosa
alberto_fujimori	valentín_paniagua
alberto_gonzales	john_ashcroft
alberto_korda	che_guevara
alberto_korda	fidel_castro
albertus_magnus	thomas_aquinas
alcibiades	pericles
alcibiades	socrates
alcide_de_gasperi	robert_schuman
aldous_huxley	thomas_henry_huxley
alec_baldwin	kim_basinger
alec_douglas-home	edward_heath
alec_douglas-home	harold_macmillan
alec_douglas-home	harold_wilson
alejandro_toledo	alan_garcía
alejandro_toledo	alberto_fujimori
alejandro_toledo	valentín_paniagua
aleksander_kwaśniewski	lech_kaczyński
aleksander_kwaśniewski	lech_wałęsa
alessandra_mussolini	benito_mussolini
alessandra_mussolini	sophia_loren
alexander_alekhine	josé_raúl_capablanca
alexander_alekhine	max_euwe
alexander_alekhine	mikhail_botvinnik
alexander_berkman	emma_goldman
alexander_borodin	franz_liszt
alexander_borodin	mily_balakirev
alexander_farnese,_duke_of_parma	john_of_austria
alexander_graham_bell	antonio_meucci
alexander_haig	george_p._shultz
alexander_haig	richard_nixon
alexander_haig	ronald_reagan
alexander_hamilton	aaron_burr
alexander_i_of_russia	paul_i_of_russia
alexander_i_of_yugoslavia	louis_barthou
alexander_ii_of_russia	nicholas_i_of_russia
alexander_kerensky	georgy_lvov
alexander_kerensky	vladimir_lenin
alexander_severus	elagabalus
alexander_severus	maximinus_thrax
alexander_skarsgård	lady_gaga
alexander_skarsgård	stellan_skarsgård
alexander_the_great	aristotle
alexander_the_great	bessus
alexander_the_great	plutarch
alexandra_maria_lara	traudl_junge
alexandra_of_denmark	christian_ix_of_denmark
alexandre_kojève	jacques_lacan
alexandre_millerand	paul_deschanel
alexei_alexeyevich_abrikosov	anthony_james_leggett
alexei_kosygin	nikita_khrushchev
alexey_rykov	vladimir_lenin
alexey_rykov	vyacheslav_molotov
alexis_denisof	alyson_hannigan
alfonso_garcía_robles	alva_myrdal
alfonso_xiii_of_spain	alfonso_xii_of_spain
alfred_adler	sigmund_freud
alfred_dreyfus	émile_zola
alfred_gusenbauer	werner_faymann
alfred_hershey	salvador_luria
alfred_hitchcock	cary_grant
alfred_hitchcock	grace_kelly
alfred_hitchcock	ingrid_bergman
alfred_hitchcock	james_stewart
alfred_hitchcock	kim_novak
alfred_hitchcock	tippi_hedren
alfred_jodl	wilhelm_keitel
alfred_kinsey	liam_neeson
alfred_moisiu	bamir_topi
alfred_moisiu	rexhep_meidani
alfred_north_whitehead	bertrand_russell
alfred_rosenberg	adolf_hitler
alfred_russel_wallace	charles_darwin
alfred_tarski	kurt_gödel
alfred_the_great	edward_the_elder
alfredo_binda	fausto_coppi
alfredo_kraus	maria_callas
alfredo_palacio	lucio_gutiérrez
alfredo_palacio	rafael_correa
algirdas_brazauskas	valdas_adamkus
ali_bongo_ondimba	omar_bongo
ali_hassan_al-majid	saddam_hussein
ali_hassan_mwinyi	julius_nyerere
ali_khamenei	akbar_hashemi_rafsanjani
ali_khamenei	mohammad-ali_rajai
ali_khamenei	ruhollah_khomeini
ali_macgraw	steve_mcqueen
alicia_keys	jay-z
alicia_keys	whitney_houston
alicia_silverstone	aerosmith
aliona_savchenko	robin_szolkowy
alistair_darling	gordon_brown
alizée	mylène_farmer
allen_ginsberg	jack_kerouac
allen_ginsberg	william_s._burroughs
alma_mahler-werfel	gustav_klimt
alma_mahler-werfel	gustav_mahler
alphonse_mucha	sarah_bernhardt
alu_alkhanov	akhmad_kadyrov
alu_alkhanov	ramzan_kadyrov
alva_myrdal	gunnar_myrdal
amadou_toumani_touré	alpha_oumar_konaré
amati	antonio_stradivari
ambrogio_lorenzetti	simone_martini
amedeo_modigliani	constantin_brâncuşi
amedeo_modigliani	pablo_picasso
amelia_earhart	charles_lindbergh
amenhotep_iii	akhenaten
amerigo_vespucci	christopher_columbus
amir_peretz	ehud_barak
amir_peretz	shimon_peres
amitabh_bachchan	abhishek_bachchan
amon_göth	ralph_fiennes
amélie_mauresmo	justine_henin
amélie_mauresmo	kim_clijsters
amélie_mauresmo	venus_williams
ana_ivanović	amélie_mauresmo
ana_ivanović	daniela_hantuchová
ana_ivanović	dinara_safina
ana_ivanović	jelena_janković
ana_ivanović	justine_henin
ana_ivanović	maria_sharapova
ana_ivanović	nadia_petrova
ana_ivanović	patty_schnyder
ana_ivanović	svetlana_kuznetsova
ana_ivanović	venus_williams
ana_ivanović	zheng_jie
anastacia	eros_ramazzotti
anastas_mikoyan	joseph_stalin
anastas_mikoyan	leonid_brezhnev
anastas_mikoyan	vladimir_lenin
anastasia_myskina	elena_dementieva
anastasio_bustamante	antonio_lópez_de_santa_anna
anatoly_karpov	bobby_fischer
anatoly_karpov	garry_kasparov
anatoly_karpov	viktor_korchnoi
anaxagoras	pericles
anders_fogh_rasmussen	jaap_de_hoop_scheffer
anders_fogh_rasmussen	lars_løkke_rasmussen
anders_fogh_rasmussen	poul_nyrup_rasmussen
andre_agassi	andriy_medvedev
andre_agassi	brooke_shields
andre_agassi	michael_stich
andre_agassi	pete_sampras
andre_agassi	rafael_nadal
andre_agassi	roger_federer
andre_agassi	steffi_graf
andrea_bocelli	luciano_pavarotti
andrea_bocelli	sarah_brightman
andrea_del_verrocchio	leonardo_da_vinci
andreas_baader	gudrun_ensslin
andreas_baader	jan-carl_raspe
andreas_baader	ulrike_meinhof
andreas_klöden	floyd_landis
andreas_klöden	jan_ullrich
andrei_gromyko	eduard_shevardnadze
andrei_sakharov	yelena_bonner
andrei_tarkovsky	stanisław_lem
andrew_huxley	alan_lloyd_hodgkin
andrew_huxley	john_eccles_(neurophysiologist)
andrew_irvine_(mountaineer)	george_mallory
andrew_jackson_gandy	john_quincy_adams
andrew_jackson_gandy	martin_van_buren
andrew_johnson	abraham_lincoln
andrew_johnson	ulysses_s._grant
andrew_lloyd_webber	sarah_brightman
andrew_schally	roger_guillemin
andriy_medvedev	andre_agassi
andrus_ansip	juhan_parts
andry_rajoelina	marc_ravalomanana
andré_derain	henri_matisse
